STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Ireland,FDIRESTR,FDI restrictiveness,MEDIA,Media,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Ireland,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,FDIRESTR,FDI restrictiveness,MEDIA,Media,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MAR,Morocco,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MAR,Morocco,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,MEDIA,Media,RESTR,0 = open; 1 = closed,A,Annual,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,FDIRESTR,FDI restrictiveness,MEDIA,Media,RESTR,0 = open; 1 = closed,A,Annual,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norway,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,FDIRESTR,FDI restrictiveness,MEDIA,Media,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,FDIRESTR,FDI restrictiveness,MEDIA,Media,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,FDIRESTR,FDI restrictiveness,MEDIA,Media,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,1997,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,MEDIA,Media,RESTR,0 = open; 1 = closed,A,Annual,2016,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2016,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,COL,Colombia,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2016,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2016,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2016,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,2016,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2016,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,2016,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PSE,Palestinian Authority or West Bank and Gaza Strip,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,URY,Uruguay,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,URY,Uruguay,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GEO,Georgia,FDIRESTR,FDI restrictiveness,FINANSERV,Financial services,RESTR,0 = open; 1 = closed,A,Annual,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,PRIMSECT,Primary sector,RESTR,0 = open; 1 = closed,A,Annual,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2018,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2018,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BRN,Brunei Darussalam,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2018,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ARM,Armenia,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2018,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MAR,Morocco,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2018,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUN,Tunisia,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2018,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CRI,Costa Rica,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2018,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2018,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2018,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2018,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2018,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,MEDIA,Media,RESTR,0 = open; 1 = closed,A,Annual,2003,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2003,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2003,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2010,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2010,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MAR,Morocco,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2010,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2010,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2010,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2010,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2010,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2010,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2012,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2012,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,COL,Colombia,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ARG,Argentina,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ARG,Argentina,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHE,Switzerland,FDIRESTR,FDI restrictiveness,PRIMSECT,Primary sector,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHE,Switzerland,FDIRESTR,FDI restrictiveness,BSNSSERV,Business services,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2017,,0,,A,,,,,,,
